index,Zip_Code,Weather_Forecast,Weather_Description,Max_Temperature,Min_Temperature,Humidity
174,68111,Clouds,few clouds,39.2,33.8,44
176,38118,Clouds,overcast clouds,60.8,57.99,77
177,84104,Clear,clear sky,43,37,48
178,80219,Clouds,few clouds,44.6,34,24
179,35218,Clouds,overcast clouds,75.2,72,78
180,89101,Clouds,few clouds,66.99,62.01,9
181,57770,Clear,clear sky,35.6,32,51
182,33142,Clouds,scattered clouds,82.99,80.6,78
183,25621,Clouds,broken clouds,62.6,59,88
184,41542,Clouds,scattered clouds,62.6,60.8,82
185,74110,Rain,moderate rain,35.6,33.01,93
186,21216,Clouds,overcast clouds,60.8,57.99,72
187,72202,Clouds,overcast clouds,48.99,48,93
188,58538,Clouds,scattered clouds,35.33,35.33,86
189,06103,Clouds,overcast clouds,52,48.99,62
190,02907,Clouds,overcast clouds,53.6,48.2,62
191,55411,Clouds,broken clouds,32,30,61
192,30314,Clouds,broken clouds,71.6,68,83
193,70117,Clouds,broken clouds,80.01,77,100
194,20002,Clouds,overcast clouds,63,59,77
195,07102,Clouds,broken clouds,57.99,54,58
196,48201,Clouds,overcast clouds,41,37.99,86
